,약국명,공휴일 시작,공휴일 종료,위도,경도,구별
378,신연세약국,900.0,1300.0,37.5545309,127.1350844,강동구
379,참사랑약국,1000.0,2100.0,37.4709639,126.9338898,관악구
380,헬로팜약국,1400.0,2300.0,37.5110296,127.0830765,송파구
381,뉴프라임약국,900.0,2200.0,37.494231,127.1177169,송파구
382,가락약국,900.0,1800.0,37.49487560000001,127.1171563,송파구
383,가은약국,900.0,1800.0,37.481578000000006,126.9537258,관악구
384,양생약국,900.0,2300.0,37.4781027,126.9568902,관악구
385,신미소약국,1000.0,2300.0,37.4841828,126.9032353,관악구
386,주평화약국,900.0,2300.0,37.4813753,126.9483523,관악구
387,새조은약국,900.0,1300.0,37.5006069,127.1108662,송파구
388,가든건강약국,1000.0,1700.0,37.50496010000001,127.0847025,송파구
389,온누리대광약국,900.0,1800.0,37.4925953,126.8971845,영등포구
390,중앙약국,700.0,2200.0,37.5154709,126.9066823,영등포구
391,정성온누리약국,1000.0,1700.0,37.4957407,126.90871609999998,영등포구
392,드림약국,1030.0,2200.0,37.517007,126.9041419,영등포구
393,구명약국,930.0,2100.0,37.4895765,126.9255086,관악구
394,새난곡약국,900.0,1300.0,37.4736875,126.9184995,관악구
395,365열린약국,1000.0,2300.0,37.48451170000001,126.9300644,관악구
396,동의삼성약국,1300.0,2200.0,37.4968508,127.1519742,송파구
397,후생약국,900.0,2130.0,37.497363,127.15003,송파구
398,신대흥약국,900.0,1700.0,37.5210547,126.899121,영등포구
399,신길프라자약국,900.0,1300.0,37.5081661,126.905409,영등포구
400,뉴그랜드약국,900.0,1700.0,37.49955670000001,126.8981452,영등포구
